solvent,solvent smiles,ET(30),α,β,π*,SA,SB,SP,SdP,N (mol/cm3),n,f(n),δ
nitroethane,CC[N+](=O)[O-],43.6,,,,0,0.234,0.706,0.902,0.01399,1.392,0.23813,23.3
nitrobenzene,C1=CC=C(C=C1)[N+](=O)[O-],41.2,0,0.3,1.01,0.056,0.24,0.891,0.873,0.00975,1.549,0.31809,22.6
pyridine,C1=CC=NC=C1,40.5,0,0.64,0.87,0.033,0.581,0.842,0.761,0.01239,1.51,0.29908,21.6
1-methylimidazole,CN1C=CN=C1,,,,,0.069,0.658,0.834,0.959,0.01261,,,
N-methyl-2-pyrrolidinone,CN1CCCC1=O,42.2,0,0.77,0.92,0.024,0.613,0.812,0.959,0.01039,1.47,0.279,22.8
"1,1,3,3-tetramethylurea",CN(C)C(=O)N(C)C,40.9,0,0.8,0.83,0,0.624,0.778,0.878,0.00833,1.4493,0.26838,18.9
"1,1,3,3-tetramethylguanidine",CN(C)C(=N)N(C)C,39.3,0,0.86,0.76,0,1,0.78,0.75,0.00799,1.469,0.27849,18.8
formic acid,C(=O)O,,1.23,0.38,0.65,,,,,0.0265,1.3714,0.22695,
acetic acid,CC(=O)O,51.7,1.12,0.45,0.64,0.689,0.39,0.651,0.676,0.01749,1.369,0.22564,18.9
propanoic acid,CCC(=O)O,50.5,1.12,0.45,0.58,0.608,0.377,0.664,0.434,0.01336,1.386,0.23489,26.4
2-methylpropionic acid,CC(C)C(=O)O,,,,,0.515,0.281,0.659,0.302,0.01078,,,
butanoic acid,CCCC(=O)O,54.4,1.1,0.45,0.56,0.571,0.464,0.675,0.333,0.0109,1.398,0.24135,25.1
2-methylbutyric acid,CCC(C)C(=O)O,,,,,0.439,0.25,0.686,0.261,0.0092,,,
3-methylbutyric acid,CC(C)CC(=O)O,,,,,0.538,0.405,0.67,0.31,0.00911,,,
pentanoic acid,CCCCC(=O)O,55.3,1.19,0.45,0.54,0.502,0.473,0.687,0.276,0.0092,1.4085,0.24696,24.7
hexanoic acid,CCCCCC(=O)O,55.4,1.22,0.45,0.52,0.465,0.304,0.698,0.245,0.00801,1.417,0.25148,24.6
heptanoic acid,CCCCCCC(=O)O,55,1.2,0.45,0.5,0.445,0.328,0.704,0.238,0.00707,1.417,0.25148,22.5
methanol,CO,55.4,0.98,0.66,0.6,0.605,0.545,0.608,0.904,0.02466,1.329,0.20345,29.3
ethanol,CCO,51.9,0.86,0.75,0.54,0.4,0.658,0.633,0.783,0.01715,1.359,0.22015,26
allyl alcohol,C=CCO,51.9,0.84,0.9,0.52,0.415,0.585,0.705,0.839,0.01463,1.412,0.24883,24.1
1-propanol,CCCO,50.7,0.84,0.9,0.52,0.367,0.782,0.658,0.748,0.01331,1.384,0.23381,24.4
2-propanol,CC(C)O,48.4,0.76,0.84,0.48,0.283,0.83,0.633,0.808,0.01298,1.377,0.23,23.7
2-methyl-1-propanol,CC(C)CO,48.6,0.79,0.84,0.4,0.311,0.828,0.657,0.684,0.01079,1.3955,0.24001,22.9
2-methyl-2-propanol,CC(C)(C)O,43.3,0.42,0.93,0.41,0.145,0.928,0.632,0.732,0.01066,1.387,0.23543,21.6
1-butanol,CCCCO,49.7,0.84,0.84,0.47,0.341,0.809,0.674,0.655,0.01093,1.382,0.23272,23.3
2-butanol,CCC(C)O,47.1,0.69,0.8,0.4,0.221,0.888,0.656,0.706,0.01093,1.3978,0.24124,22.6
1-pentanol,CCCCCO,49.1,0.84,0.86,0.4,0.319,0.86,0.687,0.587,0.00919,1.409,0.24723,22.4
2-pentanol,CCCC(C)O,46.5,,,,0.204,0.916,0.667,0.665,0.00919,1.4053,0.24526,
1-hexanol,CCCCCCO,48.8,0.8,0.84,0.4,0.315,0.879,0.698,0.552,0.00803,1.418,0.25201,21.8
2-hexanol,CCCCC(C)O,,,,,0.14,0.966,0.683,0.601,0.00793,,,
1-heptanol,CCCCCCCO,48.5,,,,0.302,0.912,0.706,0.499,0.00706,1.424,0.25517,
1-octanol,CCCCCCCCO,48.1,0.77,0.81,0.4,0.299,0.923,0.713,0.454,0.00637,1.429,0.2578,20.9
2-octanol,CCCCCCC(C)O,,,,,0.088,0.963,0.696,0.496,0.0063,,,
1-nonanol,CCCCCCCCCO,47.8,,,,0.27,0.906,0.717,0.429,0.00575,1.433,0.2599,
1-decanol,CCCCCCCCCCO,47.7,0.7,0.82,0.45,0.259,0.912,0.722,0.383,0.00524,1.437,0.26199,19.9
1-undecanol,CCCCCCCCCCCO,47.6,,,,0.257,0.909,0.728,0.342,0.00482,1.44,0.26355,
cyclopentanol,C1CCC(C1)O,47,,,,0.258,0.836,0.74,0.673,0.01103,1.4521,0.26982,
cycloheptanol,C1CCCC(CC1)O,,,,,0.183,0.911,0.77,0.546,0.00841,,,
cyclooctanol,C1CCCC(CCC1)O,,,,,0.137,0.919,0.777,0.537,0.00757,,,
benzyl alcohol,C1=CC=C(C=C1)CO,50.4,0.6,0.52,0.98,0.409,0.461,0.861,0.788,0.00962,1.54,0.31375,23.8
methyl salicylate,COC(=O)C1=CC=CC=C1O,45.4,,,,0.219,0.216,0.843,0.741,0.00776,1.538,0.31278,
ethyl salicylate,CCOC(=O)C1=CC=CC=C1O,,,,,0.118,0.236,0.819,0.681,0.0068,,,
2-phenylethanol,C1=CC=C(C=C1)CCO,49.5,0.64,0.61,0.88,0.376,0.523,0.849,0.793,0.00835,1.5317,0.30973,23.9
"2,2,2-trifluoroethanol",C(C(F)(F)F)O,59.8,1.51,0,0.73,0.893,0.107,0.543,0.922,0.01389,1.3,0.18699,23.9
hexafluoroisopropanol,C(C(F)(F)F)(C(F)(F)F)O,62.1,1.96,0,0.65,1.011,0.014,0.499,1.454,0.0095,1.275,0.17256,19.3
ethylene glycol,C(CO)O,56.3,0.9,0.52,0.92,0.717,0.534,0.777,0.91,0.01788,1.4318,0.25927,29.9
"1,2-propanediol",C[C@@H](CO)O,54.1,,,,0.475,0.598,0.731,0.888,0.01367,1.4324,0.25958,
"1,2-butanediol",CCC(CO)O,52.6,,,,0.466,0.668,0.724,0.817,0.01121,1.4378,0.2624,
"1,3-butanediol",CC(CCO)O,52.8,,,,0.429,0.61,0.739,0.873,0.01121,1.44,0.26355,
"1,4-butanediol",C(CCO)CO,53.5,,,,0.424,0.598,0.763,0.864,0.01132,1.446,0.26667,
"2,3-butanediol",CC(C(C)O)O,51.8,,,,0.461,0.652,0.714,0.877,0.01121,1.4366,0.26178,
"1,2,3-propanetriol",C(C(CO)O)O,57,1.21,0.51,0.62,0.653,0.309,0.828,0.921,0.01368,1.4746,0.28134,33.8
water,O,63.1,1.17,0.47,1.09,1.062,0.025,0.681,0.997,0.05541,1.333,0.2057,47.9
carbon disulfide,C(=S)=S,32.8,0,0.07,0.61,0,0.104,1,0,0.01655,1.627,0.35444,20.4
dimethyl sulfoxide,CS(=O)C,45.1,0,0.76,1,0.072,0.647,0.83,1,0.01408,1.479,0.28357,26.6
sulfonane,C1CCS(=O)(=O)C1,44,0,0.39,0.98,0.052,0.365,0.83,0.896,0.01053,1.484,0.2861,
trimethyl phosphate,COP(=O)(OC)OC,43.6,0,0.77,0.72,0,0.522,0.707,0.909,0.00864,1.395,0.23974,19.6
